Unnamed: 0	season	division	round	localTeam	visitorTeam	localGoals	visitorGoals	date	timestamp
28127	2007-08	1	25	Atletico de Bilbao	Villarreal	1	2	24/02/2008	1203807600
28128	2007-08	1	25	Barcelona	Levante	5	1	24/02/2008	1203807600
28129	2007-08	1	25	Deportivo	Espanol	2	0	24/02/2008	1203807600
28130	2007-08	1	25	Mallorca	Betis	1	1	24/02/2008	1203807600
28131	2007-08	1	25	Murcia	Valladolid	0	1	24/02/2008	1203807600
28132	2007-08	1	25	Osasuna	Atletico de Madrid	3	1	24/02/2008	1203807600
28133	2007-08	1	25	Santander	Almeria	1	0	24/02/2008	1203807600
28134	2007-08	1	25	Real Madrid	Getafe	0	1	24/02/2008	1203807600
28135	2007-08	1	26	Atletico de Madrid	Barcelona	4	2	01/03/2008	1204326000
28136	2007-08	1	26	Deportivo	Sevilla	2	1	01/03/2008	1204326000
28137	2007-08	1	26	Espanol	Valencia	2	0	01/03/2008	1204326000
28138	2007-08	1	26	Recreativo de Huelva	Real Madrid	2	3	01/03/2008	1204326000
28139	2007-08	1	26	Betis	Murcia	4	0	02/03/2008	1204412400
28140	2007-08	1	26	Getafe	Mallorca	3	3	02/03/2008	1204412400
28141	2007-08	1	26	Levante	Zaragoza	2	1	02/03/2008	1204412400
28142	2007-08	1	26	Almeria	Atletico de Bilbao	1	1	02/03/2008	1204412400
28143	2007-08	1	26	Valladolid	Santander	0	1	02/03/2008	1204412400
28144	2007-08	1	26	Villarreal	Osasuna	0	0	02/03/2008	1204412400
28145	2007-08	1	27	Real Madrid	Espanol	2	1	08/03/2008	1204930800
28146	2007-08	1	27	Zaragoza	Atletico de Madrid	2	1	08/03/2008	1204930800
28147	2007-08	1	27	Atletico de Bilbao	Valladolid	2	0	09/03/2008	1205017200
28148	2007-08	1	27	Barcelona	Villarreal	1	2	09/03/2008	1205017200
28149	2007-08	1	27	Mallorca	Recreativo de Huelva	7	1	09/03/2008	1205017200
28150	2007-08	1	27	Murcia	Getafe	0	3	09/03/2008	1205017200
28151	2007-08	1	27	Osasuna	Almeria	2	1	09/03/2008	1205017200
28152	2007-08	1	27	Santander	Betis	3	0	09/03/2008	1205017200
28153	2007-08	1	27	Sevilla	Levante	2	1	09/03/2008	1205017200
28154	2007-08	1	27	Valencia	Deportivo	2	2	09/03/2008	1205017200
28155	2007-08	1	28	Betis	Atletico de Bilbao	1	2	15/03/2008	1205535600
28156	2007-08	1	28	Deportivo	Real Madrid	1	0	15/03/2008	1205535600
28157	2007-08	1	28	Recreativo de Huelva	Murcia	4	2	15/03/2008	1205535600
28158	2007-08	1	28	Valencia	Sevilla	1	2	15/03/2008	1205535600
28159	2007-08	1	28	Atletico de Madrid	Levante	3	0	16/03/2008	1205622000
28160	2007-08	1	28	Espanol	Mallorca	2	1	16/03/2008	1205622000
28161	2007-08	1	28	Getafe	Santander	2	1	16/03/2008	1205622000
28162	2007-08	1	28	Almeria	Barcelona	2	2	16/03/2008	1205622000
28163	2007-08	1	28	Valladolid	Osasuna	0	0	16/03/2008	1205622000
28164	2007-08	1	28	Villarreal	Zaragoza	2	0	16/03/2008	1205622000
28165	2007-08	1	29	Mallorca	Deportivo	1	0	22/03/2008	1206140400
28166	2007-08	1	29	Sevilla	Atletico de Madrid	1	2	22/03/2008	1206140400
28167	2007-08	1	29	Atletico de Bilbao	Getafe	1	0	23/03/2008	1206226800
28168	2007-08	1	29	Barcelona	Valladolid	4	1	23/03/2008	1206226800
28169	2007-08	1	29	Levante	Villarreal	1	2	23/03/2008	1206226800
28170	2007-08	1	29	Murcia	Espanol	4	0	23/03/2008	1206226800
28171	2007-08	1	29	Osasuna	Betis	0	1	23/03/2008	1206226800
28172	2007-08	1	29	Santander	Recreativo de Huelva	2	0	23/03/2008	1206226800
28173	2007-08	1	29	Real Madrid	Valencia	2	3	23/03/2008	1206226800
28174	2007-08	1	29	Zaragoza	Almeria	1	1	23/03/2008	1206226800
28175	2007-08	1	30	Betis	Barcelona	3	2	29/03/2008	1206745200
28176	2007-08	1	30	Villarreal	Atletico de Madrid	3	0	29/03/2008	1206745200
28177	2007-08	1	30	Deportivo	Murcia	3	1	30/03/2008	1206831600
28178	2007-08	1	30	Espanol	Santander	0	3	30/03/2008	1206831600
28179	2007-08	1	30	Getafe	Osasuna	0	2	30/03/2008	1206831600
28180	2007-08	1	30	Recreativo de Huelva	Atletico de Bilbao	1	1	30/03/2008	1206831600
28181	2007-08	1	30	Real Madrid	Sevilla	3	1	30/03/2008	1206831600
28182	2007-08	1	30	Almeria	Levante	2	1	30/03/2008	1206831600
28183	2007-08	1	30	Valencia	Mallorca	0	3	30/03/2008	1206831600
28184	2007-08	1	30	Valladolid	Zaragoza	2	1	30/03/2008	1206831600
28185	2007-08	1	31	Mallorca	Real Madrid	1	1	05/04/2008	1207346400
28186	2007-08	1	31	Osasuna	Recreativo de Huelva	0	1	05/04/2008	1207346400
28187	2007-08	1	31	Atletico de Bilbao	Espanol	1	0	06/04/2008	1207432800
28188	2007-08	1	31	Atletico de Madrid	Almeria	6	3	06/04/2008	1207432800
28189	2007-08	1	31	Barcelona	Getafe	0	0	06/04/2008	1207432800
28190	2007-08	1	31	Levante	Valladolid	0	3	06/04/2008	1207432800
28191	2007-08	1	31	Murcia	Valencia	1	0	06/04/2008	1207432800
28192	2007-08	1	31	Santander	Deportivo	1	3	06/04/2008	1207432800
28193	2007-08	1	31	Sevilla	Villarreal	2	0	06/04/2008	1207432800
28194	2007-08	1	31	Zaragoza	Betis	0	3	06/04/2008	1207432800
28195	2007-08	1	32	Recreativo de Huelva	Barcelona	2	2	12/04/2008	1207951200
28196	2007-08	1	32	Valencia	Santander	1	2	12/04/2008	1207951200
28197	2007-08	1	32	Betis	Levante	0	1	13/04/2008	1208037600
28198	2007-08	1	32	Deportivo	Atletico de Bilbao	3	0	13/04/2008	1208037600
28199	2007-08	1	32	Espanol	Osasuna	0	1	13/04/2008	1208037600
28200	2007-08	1	32	Getafe	Zaragoza	0	0	13/04/2008	1208037600
28201	2007-08	1	32	Mallorca	Sevilla	2	3	13/04/2008	1208037600
28202	2007-08	1	32	Real Madrid	Murcia	1	0	13/04/2008	1208037600
28203	2007-08	1	32	Almeria	Villarreal	1	0	13/04/2008	1208037600
28204	2007-08	1	32	Valladolid	Atletico de Madrid	1	1	13/04/2008	1208037600
28205	2007-08	1	33	Atletico de Madrid	Betis	1	3	19/04/2008	1208556000
28206	2007-08	1	33	Barcelona	Espanol	0	0	19/04/2008	1208556000
28207	2007-08	1	33	Sevilla	Almeria	1	4	19/04/2008	1208556000
28208	2007-08	1	33	Zaragoza	Recreativo de Huelva	3	0	19/04/2008	1208556000
28209	2007-08	1	33	Atletico de Bilbao	Valencia	5	1	20/04/2008	1208642400
28210	2007-08	1	33	Levante	Getafe	3	1	20/04/2008	1208642400
28211	2007-08	1	33	Murcia	Mallorca	1	4	20/04/2008	1208642400
28212	2007-08	1	33	Osasuna	Deportivo	0	1	20/04/2008	1208642400
28213	2007-08	1	33	Santander	Real Madrid	0	2	20/04/2008	1208642400
28214	2007-08	1	33	Villarreal	Valladolid	2	0	20/04/2008	1208642400
28215	2007-08	1	34	Deportivo	Barcelona	2	0	26/04/2008	1209160800
28216	2007-08	1	34	Murcia	Sevilla	0	0	26/04/2008	1209160800
28217	2007-08	1	34	Betis	Villarreal	0	1	27/04/2008	1209247200
28218	2007-08	1	34	Espanol	Zaragoza	1	1	27/04/2008	1209247200
28219	2007-08	1	34	Getafe	Atletico de Madrid	1	1	27/04/2008	1209247200
28220	2007-08	1	34	Recreativo de Huelva	Levante	2	0	27/04/2008	1209247200
28221	2007-08	1	34	Mallorca	Santander	3	1	27/04/2008	1209247200
28222	2007-08	1	34	Real Madrid	Atletico de Bilbao	3	0	27/04/2008	1209247200
28223	2007-08	1	34	Valencia	Osasuna	3	0	27/04/2008	1209247200
28224	2007-08	1	34	Valladolid	Almeria	1	0	27/04/2008	1209247200
28225	2007-08	1	35	Atletico de Madrid	Recreativo de Huelva	3	0	03/05/2008	1209765600
28226	2007-08	1	35	Zaragoza	Deportivo	1	0	03/05/2008	1209765600
28227	2007-08	1	35	Atletico de Bilbao	Mallorca	1	2	04/05/2008	1209852000
28228	2007-08	1	35	Barcelona	Valencia	6	0	04/05/2008	1209852000
28229	2007-08	1	35	Levante	Espanol	1	1	04/05/2008	1209852000
28230	2007-08	1	35	Osasuna	Real Madrid	1	2	04/05/2008	1209852000
28231	2007-08	1	35	Santander	Murcia	3	2	04/05/2008	1209852000
28232	2007-08	1	35	Sevilla	Valladolid	2	0	04/05/2008	1209852000
28233	2007-08	1	35	Almeria	Betis	1	1	04/05/2008	1209852000
28234	2007-08	1	35	Villarreal	Getafe	2	0	04/05/2008	1209852000
28235	2007-08	1	36	Betis	Valladolid	1	1	07/05/2008	1210111200
28236	2007-08	1	36	Deportivo	Levante	1	0	07/05/2008	1210111200
28237	2007-08	1	36	Getafe	Almeria	4	2	07/05/2008	1210111200
28238	2007-08	1	36	Recreativo de Huelva	Villarreal	0	2	07/05/2008	1210111200
28239	2007-08	1	36	Mallorca	Osasuna	2	1	07/05/2008	1210111200
28240	2007-08	1	36	Murcia	Atletico de Bilbao	1	2	07/05/2008	1210111200
28241	2007-08	1	36	Santander	Sevilla	0	3	07/05/2008	1210111200
28242	2007-08	1	36	Real Madrid	Barcelona	4	1	07/05/2008	1210111200
28243	2007-08	1	36	Valencia	Zaragoza	1	0	07/05/2008	1210111200
28244	2007-08	1	36	Espanol	Atletico de Madrid	0	2	08/05/2008	1210197600
28245	2007-08	1	37	Atletico de Bilbao	Santander	0	0	11/05/2008	1210456800
28246	2007-08	1	37	Atletico de Madrid	Deportivo	1	0	11/05/2008	1210456800
28247	2007-08	1	37	Barcelona	Mallorca	2	3	11/05/2008	1210456800
28248	2007-08	1	37	Betis	Sevilla	0	2	11/05/2008	1210456800
28249	2007-08	1	37	Levante	Valencia	1	5	11/05/2008	1210456800
28250	2007-08	1	37	Osasuna	Murcia	2	1	11/05/2008	1210456800
28251	2007-08	1	37	Almeria	Recreativo de Huelva	0	2	11/05/2008	1210456800
28252	2007-08	1	37	Valladolid	Getafe	0	0	11/05/2008	1210456800
28253	2007-08	1	37	Villarreal	Espanol	2	0	11/05/2008	1210456800
28254	2007-08	1	37	Zaragoza	Real Madrid	2	2	11/05/2008	1210456800
28255	2007-08	1	38	Murcia	Barcelona	3	5	17/05/2008	1210975200
28256	2007-08	1	38	Deportivo	Villarreal	0	2	18/05/2008	1211061600
28257	2007-08	1	38	Espanol	Almeria	1	3	18/05/2008	1211061600
28258	2007-08	1	38	Getafe	Betis	1	1	18/05/2008	1211061600
28259	2007-08	1	38	Recreativo de Huelva	Valladolid	1	1	18/05/2008	1211061600
28260	2007-08	1	38	Mallorca	Zaragoza	3	2	18/05/2008	1211061600
28261	2007-08	1	38	Santander	Osasuna	1	0	18/05/2008	1211061600
28262	2007-08	1	38	Real Madrid	Levante	5	2	18/05/2008	1211061600
28263	2007-08	1	38	Sevilla	Atletico de Bilbao	4	1	18/05/2008	1211061600
28264	2007-08	1	38	Valencia	Atletico de Madrid	3	1	18/05/2008	1211061600
28727	2008-09	1	1	Espanol	Valladolid	1	0	30/08/2008	1220047200
28728	2008-09	1	1	Valencia	Mallorca	3	0	30/08/2008	1220047200
28729	2008-09	1	1	Atletico de Bilbao	Almeria	1	3	31/08/2008	1220133600
28730	2008-09	1	1	Atletico de Madrid	Malaga	4	0	31/08/2008	1220133600
28731	2008-09	1	1	Betis	Recreativo de Huelva	0	1	31/08/2008	1220133600
28732	2008-09	1	1	Deportivo	Real Madrid	2	1	31/08/2008	1220133600
28733	2008-09	1	1	Sporting de Gijon	Getafe	1	2	31/08/2008	1220133600
28734	2008-09	1	1	Numancia	Barcelona	1	0	31/08/2008	1220133600
28735	2008-09	1	1	Osasuna	Villarreal	1	1	31/08/2008	1220133600
28736	2008-09	1	1	Santander	Sevilla	1	1	31/08/2008	1220133600
28737	2008-09	1	2	Barcelona	Santander	1	1	13/09/2008	1221256800
28738	2008-09	1	2	Sevilla	Sporting de Gijon	4	3	13/09/2008	1221256800
28739	2008-09	1	2	Valladolid	Atletico de Madrid	2	1	13/09/2008	1221256800
28740	2008-09	1	2	Getafe	Betis	0	0	14/09/2008	1221343200
28741	2008-09	1	2	Recreativo de Huelva	Espanol	0	1	14/09/2008	1221343200
28742	2008-09	1	2	Malaga	Atletico de Bilbao	0	0	14/09/2008	1221343200
28743	2008-09	1	2	Mallorca	Osasuna	1	1	14/09/2008	1221343200
28744	2008-09	1	2	Real Madrid	Numancia	4	3	14/09/2008	1221343200
28745	2008-09	1	2	Almeria	Valencia	2	2	14/09/2008	1221343200
28746	2008-09	1	2	Villarreal	Deportivo	1	0	14/09/2008	1221343200
28747	2008-09	1	3	Atletico de Madrid	Recreativo de Huelva	4	0	20/09/2008	1221861600
28748	2008-09	1	3	Espanol	Getafe	1	1	20/09/2008	1221861600
28749	2008-09	1	3	Atletico de Bilbao	Valladolid	2	0	21/09/2008	1221948000
28750	2008-09	1	3	Betis	Sevilla	0	0	21/09/2008	1221948000
28751	2008-09	1	3	Deportivo	Mallorca	0	0	21/09/2008	1221948000
28752	2008-09	1	3	Sporting de Gijon	Barcelona	1	6	21/09/2008	1221948000
28753	2008-09	1	3	Numancia	Villarreal	1	2	21/09/2008	1221948000
28754	2008-09	1	3	Santander	Real Madrid	0	2	21/09/2008	1221948000
28755	2008-09	1	3	Almeria	Malaga	1	0	21/09/2008	1221948000
28756	2008-09	1	3	Valencia	Osasuna	1	0	21/09/2008	1221948000
28757	2008-09	1	4	Barcelona	Betis	3	2	24/09/2008	1222207200
28758	2008-09	1	4	Getafe	Atletico de Madrid	1	2	24/09/2008	1222207200
28759	2008-09	1	4	Osasuna	Deportivo	0	0	24/09/2008	1222207200
28760	2008-09	1	4	Real Madrid	Sporting de Gijon	7	1	24/09/2008	1222207200
28761	2008-09	1	4	Sevilla	Espanol	2	0	24/09/2008	1222207200
28762	2008-09	1	4	Villarreal	Santander	2	0	24/09/2008	1222207200
28763	2008-09	1	4	Recreativo de Huelva	Atletico de Bilbao	1	1	25/09/2008	1222293600
28764	2008-09	1	4	Malaga	Valencia	0	2	25/09/2008	1222293600
28765	2008-09	1	4	Mallorca	Numancia	2	0	25/09/2008	1222293600
28766	2008-09	1	4	Valladolid	Almeria	2	0	25/09/2008	1222293600
28767	2008-09	1	5	Betis	Real Madrid	1	2	27/09/2008	1222466400
28768	2008-09	1	5	Espanol	Barcelona	1	2	27/09/2008	1222466400
28769	2008-09	1	5	Sporting de Gijon	Villarreal	0	1	27/09/2008	1222466400
28770	2008-09	1	5	Atletico de Bilbao	Getafe	0	1	28/09/2008	1222552800
28771	2008-09	1	5	Atletico de Madrid	Sevilla	0	1	28/09/2008	1222552800
28772	2008-09	1	5	Malaga	Valladolid	2	1	28/09/2008	1222552800
28773	2008-09	1	5	Numancia	Osasuna	0	0	28/09/2008	1222552800
28774	2008-09	1	5	Santander	Mallorca	1	2	28/09/2008	1222552800
28775	2008-09	1	5	Almeria	Recreativo de Huelva	1	0	28/09/2008	1222552800
28776	2008-09	1	5	Valencia	Deportivo	4	2	28/09/2008	1222552800
28777	2008-09	1	6	Barcelona	Atletico de Madrid	6	1	04/10/2008	1223071200
28778	2008-09	1	6	Villarreal	Betis	2	1	04/10/2008	1223071200
28779	2008-09	1	6	Deportivo	Numancia	1	0	05/10/2008	1223157600
28780	2008-09	1	6	Getafe	Almeria	2	2	05/10/2008	1223157600
28781	2008-09	1	6	Recreativo de Huelva	Malaga	0	4	05/10/2008	1223157600
28782	2008-09	1	6	Mallorca	Sporting de Gijon	0	2	05/10/2008	1223157600
28783	2008-09	1	6	Osasuna	Santander	0	1	05/10/2008	1223157600
28784	2008-09	1	6	Real Madrid	Espanol	2	2	05/10/2008	1223157600
28785	2008-09	1	6	Sevilla	Atletico de Bilbao	4	0	05/10/2008	1223157600
28786	2008-09	1	6	Valladolid	Valencia	0	1	05/10/2008	1223157600
28787	2008-09	1	7	Atletico de Madrid	Real Madrid	1	2	18/10/2008	1224280800
28788	2008-09	1	7	Espanol	Villarreal	0	0	18/10/2008	1224280800
28789	2008-09	1	7	Atletico de Bilbao	Barcelona	0	1	19/10/2008	1224367200
28790	2008-09	1	7	Betis	Mallorca	3	0	19/10/2008	1224367200
28791	2008-09	1	7	Sporting de Gijon	Osasuna	2	1	19/10/2008	1224367200
28792	2008-09	1	7	Malaga	Getafe	2	1	19/10/2008	1224367200
28793	2008-09	1	7	Santander	Deportivo	0	0	19/10/2008	1224367200
28794	2008-09	1	7	Almeria	Sevilla	0	1	19/10/2008	1224367200
28795	2008-09	1	7	Valencia	Numancia	4	0	19/10/2008	1224367200
28796	2008-09	1	7	Valladolid	Recreativo de Huelva	1	1	19/10/2008	1224367200
28797	2008-09	1	8	Barcelona	Almeria	5	0	25/10/2008	1224885600
28798	2008-09	1	8	Osasuna	Betis	0	2	25/10/2008	1224885600
28799	2008-09	1	8	Deportivo	Sporting de Gijon	0	3	26/10/2008	1224972000
28800	2008-09	1	8	Getafe	Valladolid	1	0	26/10/2008	1224972000
28801	2008-09	1	8	Recreativo de Huelva	Valencia	1	1	26/10/2008	1224972000
28802	2008-09	1	8	Mallorca	Espanol	3	0	26/10/2008	1224972000
28803	2008-09	1	8	Numancia	Santander	2	1	26/10/2008	1224972000
28804	2008-09	1	8	Real Madrid	Atletico de Bilbao	3	2	26/10/2008	1224972000
28805	2008-09	1	8	Sevilla	Malaga	0	1	26/10/2008	1224972000
28806	2008-09	1	8	Villarreal	Atletico de Madrid	4	4	26/10/2008	1224972000
28807	2008-09	1	9	Atletico de Bilbao	Villarreal	1	4	01/11/2008	1225494000
28808	2008-09	1	9	Atletico de Madrid	Mallorca	2	0	01/11/2008	1225494000
28809	2008-09	1	9	Malaga	Barcelona	1	4	01/11/2008	1225494000
28810	2008-09	1	9	Valencia	Santander	2	4	01/11/2008	1225494000
28811	2008-09	1	9	Betis	Deportivo	0	3	02/11/2008	1225580400
28812	2008-09	1	9	Espanol	Osasuna	1	0	02/11/2008	1225580400
28813	2008-09	1	9	Sporting de Gijon	Numancia	3	1	02/11/2008	1225580400
28814	2008-09	1	9	Recreativo de Huelva	Getafe	1	1	02/11/2008	1225580400
28815	2008-09	1	9	Almeria	Real Madrid	1	1	02/11/2008	1225580400
28816	2008-09	1	9	Valladolid	Sevilla	3	2	02/11/2008	1225580400
28817	2008-09	1	10	Barcelona	Valladolid	6	0	08/11/2008	1226098800
28818	2008-09	1	10	Real Madrid	Malaga	4	3	08/11/2008	1226098800
28819	2008-09	1	10	Deportivo	Espanol	1	0	09/11/2008	1226185200
28820	2008-09	1	10	Getafe	Valencia	0	3	09/11/2008	1226185200
28821	2008-09	1	10	Mallorca	Atletico de Bilbao	3	3	09/11/2008	1226185200
28822	2008-09	1	10	Numancia	Betis	2	4	09/11/2008	1226185200
28823	2008-09	1	10	Osasuna	Atletico de Madrid	0	0	09/11/2008	1226185200
28824	2008-09	1	10	Santander	Sporting de Gijon	1	0	09/11/2008	1226185200
28825	2008-09	1	10	Sevilla	Recreativo de Huelva	1	0	09/11/2008	1226185200
28826	2008-09	1	10	Villarreal	Almeria	2	1	09/11/2008	1226185200
28827	2008-09	1	11	Valencia	Sporting de Gijon	2	3	15/11/2008	1226703600
28828	2008-09	1	11	Valladolid	Real Madrid	1	0	15/11/2008	1226703600
28829	2008-09	1	11	Atletico de Bilbao	Osasuna	2	0	16/11/2008	1226790000
28830	2008-09	1	11	Atletico de Madrid	Deportivo	4	1	16/11/2008	1226790000
28831	2008-09	1	11	Betis	Santander	3	1	16/11/2008	1226790000
28832	2008-09	1	11	Espanol	Numancia	3	4	16/11/2008	1226790000
28833	2008-09	1	11	Getafe	Sevilla	0	2	16/11/2008	1226790000
28834	2008-09	1	11	Recreativo de Huelva	Barcelona	0	2	16/11/2008	1226790000
28835	2008-09	1	11	Malaga	Villarreal	2	2	16/11/2008	1226790000
28836	2008-09	1	11	Almeria	Mallorca	2	1	16/11/2008	1226790000
28837	2008-09	1	12	Real Madrid	Recreativo de Huelva	1	0	22/11/2008	1227308400
28838	2008-09	1	12	Sevilla	Valencia	0	0	22/11/2008	1227308400
28839	2008-09	1	12	Villarreal	Valladolid	0	3	22/11/2008	1227308400
28840	2008-09	1	12	Barcelona	Getafe	1	1	23/11/2008	1227394800
28841	2008-09	1	12	Deportivo	Atletico de Bilbao	3	1	23/11/2008	1227394800
28842	2008-09	1	12	Sporting de Gijon	Betis	1	2	23/11/2008	1227394800
28843	2008-09	1	12	Mallorca	Malaga	2	2	23/11/2008	1227394800
28844	2008-09	1	12	Numancia	Atletico de Madrid	1	1	23/11/2008	1227394800
28845	2008-09	1	12	Osasuna	Almeria	3	1	23/11/2008	1227394800
28846	2008-09	1	12	Santander	Espanol	3	0	23/11/2008	1227394800
28847	2008-09	1	13	Getafe	Real Madrid	3	1	29/11/2008	1227913200
28848	2008-09	1	13	Sevilla	Barcelona	0	3	29/11/2008	1227913200
28849	2008-09	1	13	Atletico de Bilbao	Numancia	2	0	30/11/2008	1227999600
28850	2008-09	1	13	Atletico de Madrid	Santander	4	1	30/11/2008	1227999600
28851	2008-09	1	13	Espanol	Sporting de Gijon	0	1	30/11/2008	1227999600
28852	2008-09	1	13	Recreativo de Huelva	Villarreal	1	2	30/11/2008	1227999600
28853	2008-09	1	13	Malaga	Osasuna	4	2	30/11/2008	1227999600
28854	2008-09	1	13	Almeria	Deportivo	0	1	30/11/2008	1227999600
28855	2008-09	1	13	Valencia	Betis	3	2	30/11/2008	1227999600
28856	2008-09	1	13	Valladolid	Mallorca	3	0	30/11/2008	1227999600
28857	2008-09	1	14	Barcelona	Valencia	4	0	06/12/2008	1228518000
28858	2008-09	1	14	Sporting de Gijon	Atletico de Madrid	2	5	06/12/2008	1228518000
28859	2008-09	1	14	Villarreal	Getafe	3	3	06/12/2008	1228518000
28860	2008-09	1	14	Betis	Espanol	1	1	07/12/2008	1228604400
28861	2008-09	1	14	Deportivo	Malaga	2	0	07/12/2008	1228604400
28862	2008-09	1	14	Mallorca	Recreativo de Huelva	2	3	07/12/2008	1228604400
28863	2008-09	1	14	Numancia	Almeria	2	1	07/12/2008	1228604400
28864	2008-09	1	14	Osasuna	Valladolid	3	3	07/12/2008	1228604400
28865	2008-09	1	14	Santander	Atletico de Bilbao	1	1	07/12/2008	1228604400
28866	2008-09	1	14	Real Madrid	Sevilla	3	4	07/12/2008	1228604400
28867	2008-09	1	15	Barcelona	Real Madrid	2	0	13/12/2008	1229122800
28868	2008-09	1	15	Valencia	Espanol	2	1	13/12/2008	1229122800
28869	2008-09	1	15	Atletico de Bilbao	Sporting de Gijon	3	0	14/12/2008	1229209200
28870	2008-09	1	15	Atletico de Madrid	Betis	2	0	14/12/2008	1229209200
28871	2008-09	1	15	Getafe	Mallorca	4	1	14/12/2008	1229209200
28872	2008-09	1	15	Recreativo de Huelva	Osasuna	1	0	14/12/2008	1229209200
28873	2008-09	1	15	Malaga	Numancia	2	0	14/12/2008	1229209200
28874	2008-09	1	15	Sevilla	Villarreal	1	0	14/12/2008	1229209200
28875	2008-09	1	15	Almeria	Santander	1	1	14/12/2008	1229209200
28876	2008-09	1	15	Valladolid	Deportivo	3	0	14/12/2008	1229209200
28877	2008-09	1	16	Espanol	Atletico de Madrid	2	3	20/12/2008	1229727600
28878	2008-09	1	16	Real Madrid	Valencia	1	0	20/12/2008	1229727600
28879	2008-09	1	16	Betis	Atletico de Bilbao	0	1	21/12/2008	1229814000
28880	2008-09	1	16	Deportivo	Recreativo de Huelva	4	1	21/12/2008	1229814000
28881	2008-09	1	16	Sporting de Gijon	Almeria	1	0	21/12/2008	1229814000
28882	2008-09	1	16	Mallorca	Sevilla	0	0	21/12/2008	1229814000
28883	2008-09	1	16	Numancia	Valladolid	4	3	21/12/2008	1229814000
28884	2008-09	1	16	Osasuna	Getafe	5	2	21/12/2008	1229814000
28885	2008-09	1	16	Santander	Malaga	1	1	21/12/2008	1229814000
28886	2008-09	1	16	Villarreal	Barcelona	1	2	21/12/2008	1229814000
28887	2008-09	1	17	Barcelona	Mallorca	3	1	03/01/2009	1230937200
28888	2008-09	1	17	Valencia	Atletico de Madrid	3	1	03/01/2009	1230937200
28889	2008-09	1	17	Atletico de Bilbao	Espanol	1	1	04/01/2009	1231023600
28890	2008-09	1	17	Getafe	Deportivo	1	2	04/01/2009	1231023600
28891	2008-09	1	17	Recreativo de Huelva	Numancia	3	1	04/01/2009	1231023600
28892	2008-09	1	17	Malaga	Sporting de Gijon	1	0	04/01/2009	1231023600
28893	2008-09	1	17	Real Madrid	Villarreal	1	0	04/01/2009	1231023600
28894	2008-09	1	17	Sevilla	Osasuna	1	1	04/01/2009	1231023600
28895	2008-09	1	17	Almeria	Betis	1	0	04/01/2009	1231023600
28896	2008-09	1	17	Valladolid	Santander	0	1	04/01/2009	1231023600
28897	2008-09	1	18	Deportivo	Sevilla	1	3	10/01/2009	1231542000
28898	2008-09	1	18	Valencia	Villarreal	3	3	10/01/2009	1231542000
28899	2008-09	1	18	Atletico de Madrid	Atletico de Bilbao	2	3	11/01/2009	1231628400
28900	2008-09	1	18	Betis	Malaga	1	2	11/01/2009	1231628400
28901	2008-09	1	18	Espanol	Almeria	2	2	11/01/2009	1231628400
28902	2008-09	1	18	Sporting de Gijon	Valladolid	2	1	11/01/2009	1231628400
28903	2008-09	1	18	Mallorca	Real Madrid	0	3	11/01/2009	1231628400
28904	2008-09	1	18	Numancia	Getafe	2	0	11/01/2009	1231628400
28905	2008-09	1	18	Osasuna	Barcelona	2	3	11/01/2009	1231628400
28906	2008-09	1	18	Santander	Recreativo de Huelva	1	1	11/01/2009	1231628400
28907	2008-09	1	19	Barcelona	Deportivo	5	0	17/01/2009	1232146800
28908	2008-09	1	19	Sevilla	Numancia	1	0	17/01/2009	1232146800
28909	2008-09	1	19	Atletico de Bilbao	Valencia	3	2	18/01/2009	1232233200
28910	2008-09	1	19	Getafe	Santander	0	1	18/01/2009	1232233200
28911	2008-09	1	19	Recreativo de Huelva	Sporting de Gijon	2	0	18/01/2009	1232233200
28912	2008-09	1	19	Malaga	Espanol	4	0	18/01/2009	1232233200
28913	2008-09	1	19	Real Madrid	Osasuna	3	1	18/01/2009	1232233200
28914	2008-09	1	19	Almeria	Atletico de Madrid	1	1	18/01/2009	1232233200
28915	2008-09	1	19	Valladolid	Betis	1	3	18/01/2009	1232233200
28916	2008-09	1	19	Villarreal	Mallorca	2	0	18/01/2009	1232233200
28917	2008-09	1	20	Barcelona	Numancia	4	1	24/01/2009	1232751600
28918	2008-09	1	20	Villarreal	Osasuna	1	1	24/01/2009	1232751600
28919	2008-09	1	20	Getafe	Sporting de Gijon	5	1	25/01/2009	1232838000
28920	2008-09	1	20	Recreativo de Huelva	Betis	1	0	25/01/2009	1232838000
28921	2008-09	1	20	Malaga	Atletico de Madrid	1	1	25/01/2009	1232838000
28922	2008-09	1	20	Mallorca	Valencia	3	1	25/01/2009	1232838000
28923	2008-09	1	20	Real Madrid	Deportivo	1	0	25/01/2009	1232838000
28924	2008-09	1	20	Sevilla	Santander	0	2	25/01/2009	1232838000
28925	2008-09	1	20	Almeria	Atletico de Bilbao	2	1	25/01/2009	1232838000
28926	2008-09	1	20	Valladolid	Espanol	1	1	25/01/2009	1232838000
28927	2008-09	1	21	Atletico de Bilbao	Malaga	3	2	31/01/2009	1233356400
28928	2008-09	1	21	Numancia	Real Madrid	0	2	31/01/2009	1233356400
28929	2008-09	1	21	Atletico de Madrid	Valladolid	1	2	01/02/2009	1233442800
28930	2008-09	1	21	Betis	Getafe	2	2	01/02/2009	1233442800
